Animes-,,,,,,,,,,,,,,,,
Animes-,Minha Nota,Visto/Assistindo,Em lançamento,Data,Reassistir,,Temporadas,Eps,Eps/Temporada,Lançamento,Gênero,Fichado,Vezes Assistido,Duração dos Eps,Eps Assistidos,Tempo
Toaru Kagaku No Accelerator,100,Assistido,Não,2ª Temporada?,1x,7,1,12,12,2019,FantasiaSobrenaturalSuperpoderVida Escolar,V,1,22,19,418
Kimetsu No Yaiba,100,Assistido,Não,2ª Temporada?(Filme Confirmado),3x,,1,26,26,2019,Ação. Demônio. Histórico. Shounen. Sobrenatural,V,3,22,78,1716
Boku No Hero,100,Assistido,Sim,5ª Temporada Confirmada,3x,,4,88,13. 25. 25. 25,2016-2020,AçãoAventuraComédiaSchoolShounenSuperpoder,V,3,22,264,5808
Ao No Exorcist (Blue Exorcist),99.9,Assistido,Não,-,1x,25,2,37,25.12,,,,1,22,62,1364
Charlotte,99.7,Assistido,Não,,1x,,1,13,13,2015,ComédiaDramaSchoolSobrenaturalSuperpoder,V,1,22.5,13,293
Naruto Shippuden,99.4,Assistido,Não,-,+,420,,279,500,2007-2017,,,1,22,699,15378
Tate No Yuusha,99.3,Assistido,Não,2ª e 3ª Temporada Confirmadas,2x,,1,25,25,,,,2,22,50,1100
Hunterxhunter,99.2,Assistido,Não,-,+,54,-,148,,2011,AçãoArtes MarciaisAventuraFantasia,V,1,22,202,4444
Youkoso Jitsuryoku Shijou Shugi No Kyoushitsu E (Classroom Of Elite) T1,99.1,Assistido,Não,2ª Temporada 2020-2021,2x,,1,12,12,,,,2,22,24,528
Noragami Araguroto,99,Assistido,Não,-,1x,,1,13,13,,,,1,22,13,286
Naruto,99,Assistido,Não,-,1x,128,,220,220,,,,1,22,348,7656
Isekai No Seikishi Monogatari,99,Assistido,,2 Temporada-,1x,,1,13,13,2009,AçãoComédiaEcchiFantasiaHarém?MechaVida Escolar,V,1,43.1,13,560
Plunderer,99,Assistido,Não,2 Temporada-,1x,7,1,24,24,2020,AçãoEcchiFantasiaShounen,V,1,22,31,682
Angel Beats,99,Assistido,Não,2ªTemporada?,1x,,1,13,13,2010,AçãoComédiaDramaSchoolSobrenatural,V,1,22,13,286
One Punch Man,99,Assistido,Não,3ª Temporada?,1x,,2,24,12.12,,,,1,22,24,528
Yamada-kun A 7-nin No Majo (TV),99,Assistido,,,,,1,12,12,2015,ComédiaHarém?MistérioRomanceSchoolShounenSobrenatural,V,1,22,12,264
Sousei No Onmyouji,98.9,Assistido,Não,2ª Temporada?,1x,,1,50,50,2016,Ação. Fantasia. Romance. Shounen. Sobrenatural,V,1,22,50,1100
Dungeon Ni Deai,98.9,Assistido,Não,3ª Temporada 2 de Outubro,1x,,1,22,22,,,,1,22,22,484
Sousei No Aquarion,98.9,Assistido,,,1x,,1,26,26,2005,AçãoComédiaDramaFantasiaFicção CientíficaMechaRomance,V,1,22,26,572
Samurai Harem (Asu No Yoichi),98.9,Assistido,,,,,1,12,12,2009,Artes MarciaisComédia RomânticaHarém,V,1,22,12,264
Darling In The Franxx,98.9,Assistido,,,,,1,24,24,2018,AçãoDramaFicção CientíficaMechaRomance,V,1,22,24,528
Cross Ange- Tenshi To Ryuu No Rondo,98.9,Assistido,,,,,1,25,25,2014,AçãoDramaFicção CientíficaMecha,V,1,22,25,550
Sword Art Online 2012,98.8,Assistido,Não,-,1x,,1,25,25,,,,1,22,25,550
World Trigger,98.8,Assistido,Não,2ª Temporada Confirmada,1x,,1,73,73,2014,AçãoFicção CientíficaSchoolShounenSobrenatural,V,1,22,73,1606
Killing Bites,98.8,Assistido,Não,2ª Temporada maio,1x,,1,12,12,2018,AçãoEcchiFicção CientíficaSeinen,V,1,22,12,264
Isekai Maou To Shoukan Shoujo No Dorei Majutsu,98.8,Assistido,Não,2ª Temporada?,1x,,1,12,12,2018,Comédia. Ecchi. Fantasia. Harém. ?Magia,V,1,22,12,264
